Name,Type__c,Climate__c,Growing_Season__c,Harvest_Time_Days__c,Soil_Type__c,Water_Requirements__c,Description__c,Image_Name__c
Corn (Maize),Cereal Grain,Warm Temperate,Spring to Fall,120,Well-drained loamy soil,Medium,"Zea mays, the most widely grown crop in the US. Used for food, feed, ethanol, and industrial products.",corn.jpg
Wheat,Cereal Grain,Temperate,Fall to Summer,240,Well-drained clay loam,Medium,"Triticum aestivum, grown for bread, pasta, and animal feed. Major crop in the Great Plains.",wheat.jpg
Soybeans,Cereal Grain,Warm Temperate,Spring to Fall,130,Well-drained fertile soil,Medium,"Glycine max, major oilseed crop used for animal feed, biodiesel, and food products.",soybeans.jpg
Rice,Cereal Grain,Warm Humid,Spring to Fall,150,Clay loam with good water retention,Very High,"Oryza sativa, primarily grown in Arkansas, California, Louisiana, Mississippi, Missouri, and Texas.",rice.jpg
Barley,Cereal Grain,Cool Temperate,Spring to Summer,90,Well-drained loamy soil,Medium,"Hordeum vulgare, used for malting, animal feed, and food products.",barley.jpg
Oats,Cereal Grain,Cool Temperate,Spring to Summer,100,Well-drained fertile soil,Medium,"Avena sativa, used for human consumption, animal feed, and cover crops.",oats.jpg
Cotton,Fiber Crop,Warm Temperate,Spring to Fall,180,Well-drained sandy loam,High,"Gossypium hirsutum, grown for fiber and cottonseed oil. Major crop in the Southern US.",cotton.jpg
Potatoes,Tuber,Cool Temperate,Spring to Fall,100,Well-drained sandy loam,High,"Solanum tuberosum, grown for fresh consumption, processing, and seed potatoes.",potatoes.jpg
Sweet Potatoes,Tuber,Warm Temperate,Spring to Fall,120,Well-drained sandy soil,Medium,"Ipomoea batatas, nutritious root crop grown primarily in the Southeast.",sweet_potatoes.jpg
Tomatoes,Vegetable,Warm Temperate,Spring to Fall,80,Well-drained loamy soil,Medium,"Solanum lycopersicum, grown for fresh market and processing. Major crop in California and Florida.",tomatoes.jpg
Lettuce,Vegetable,Cool Temperate,Spring to Fall,60,Well-drained fertile soil,High,"Lactuca sativa, leafy green vegetable grown year-round in California and Arizona.",lettuce.jpg
Onions,Vegetable,Temperate,Spring to Summer,100,Well-drained sandy loam,Medium,"Allium cepa, grown for fresh market and storage. Major crops in California, Washington, and Georgia.",onions.jpg
Carrots,Vegetable,Cool Temperate,Spring to Fall,75,Well-drained sandy soil,Medium,"Daucus carota, root vegetable grown for fresh market and processing.",carrots.jpg
Broccoli,Vegetable,Cool Temperate,Spring to Fall,70,Well-drained fertile soil,High,"Brassica oleracea var. italica, cool-season vegetable grown in California and Arizona.",broccoli.jpg
Bell Peppers,Vegetable,Warm Temperate,Spring to Fall,80,Well-drained loamy soil,Medium,"Capsicum annuum, sweet pepper variety grown for fresh market.",bell_peppers.jpg
Apples,Fruit,Temperate,Spring to Fall,150,Well-drained loamy soil,Medium,"Malus domestica, major fruit crop grown in Washington, New York, and Michigan.",apples.jpg
Oranges,Fruit,Warm Temperate,Year-round,300,Well-drained sandy soil,High,"Citrus sinensis, major citrus crop grown primarily in Florida and California.",oranges.jpg
Grapes,Fruit,Temperate,Spring to Fall,180,Well-drained gravelly soil,Medium,"Vitis vinifera, grown for table grapes, wine, and raisins. Major crop in California.",grapes.jpg
Strawberries,Fruit,Temperate,Spring to Summer,90,Well-drained sandy loam,High,"Fragaria Ã— ananassa, grown for fresh market and processing. Major crops in California and Florida.",strawberries.jpg
Peaches,Fruit,Warm Temperate,Spring to Summer,120,Well-drained loamy soil,Medium,"Prunus persica, stone fruit grown for fresh market and processing.",peaches.jpg
Blueberries,Fruit,Cool Temperate,Spring to Summer,90,Acidic well-drained soil,High,"Vaccinium corymbosum, high-value berry crop grown in Michigan, Oregon, and Washington.",blueberries.jpg
Almonds,Fruit,Warm Temperate,Spring to Fall,240,Well-drained deep soil,High,"Prunus dulcis, major nut crop grown primarily in California.",almonds.jpg
Pecans,Fruit,Warm Temperate,Spring to Fall,200,Well-drained deep soil,Medium,"Carya illinoinensis, native nut tree grown in the Southern US.",pecans.jpg
